0;A;A-D;B;B-D;C;C-D;D;D-D;E;E-D
1;Foe escapes like the wind.;+0H;Your attack falls short.;+0H;Your fingernails deal a vicious wound.;+1H;A little elbow before you lose your grip.;+2H;You grip strand for foe's hair. It breaks.;+3H
2;Foe escapes like the wind.;+0H;Your attack falls short.;+0H;Your fingernails deal a vicious wound.;+1H;A little elbow before you lose your grip.;+2H;You grip strand for foe's hair. It breaks.;+3H
3;Foe escapes like the wind.;+0H;Your attack falls short.;+0H;Your fingernails deal a vicious wound.;+1H;A little elbow before you lose your grip.;+2H;You grip strand for foe's hair. It breaks.;+3H
4;Foe escapes like the wind.;+0H;Your attack falls short.;+0H;Your fingernails deal a vicious wound.;+1H;A little elbow before you lose your grip.;+2H;You grip strand for foe's hair. It breaks.;+3H
5;Foe escapes like the wind.;+0H;Your attack falls short.;+0H;Your fingernails deal a vicious wound.;+1H;A little elbow before you lose your grip.;+2H;You grip strand for foe's hair. It breaks.;+3H
6;Grab foe's arm. Oops. Try again.;+0H;Your grip fails.;+2H;Foe grabs, misses. You have initiative.;+3H;This was not a special moment.;+4H;You have initiative next round.;+5H
7;Grab foe's arm. Oops. Try again.;+0H;Your grip fails.;+2H;Foe grabs, misses. You have initiative.;+3H;This was not a special moment.;+4H;You have initiative next round.;+5H
8;Grab foe's arm. Oops. Try again.;+0H;Your grip fails.;+2H;Foe grabs, misses. You have initiative.;+3H;This was not a special moment.;+4H;You have initiative next round.;+5H
9;Grab foe's arm. Oops. Try again.;+0H;Your grip fails.;+2H;Foe grabs, misses. You have initiative.;+3H;This was not a special moment.;+4H;You have initiative next round.;+5H
10;Grab foe's arm. Oops. Try again.;+0H;Your grip fails.;+2H;Foe grabs, misses. You have initiative.;+3H;This was not a special moment.;+4H;You have initiative next round.;+5H
11;You impede foe's combat stance. You have the initiative.;+0H;Foe collides with your attack before you get a grip. Small bruise.;+2H;You cannot get a grip, foe hurts himself evading. You have initiative.;+4H;Grab foe's head. If foe has helm, you twist it. Otherwise, you gain initiative.;with helm: stun 1x;Lame attack, but foe is concerned. He  moves back.;+6H, must parry 1x
12;You impede foe's combat stance. You have the initiative.;+0H;Foe collides with your attack before you get a grip. Small bruise.;+2H;You cannot get a grip, foe hurts himself evading. You have initiative.;+4H;Grab foe's head. If foe has helm, you twist it. Otherwise, you gain initiative.;with helm: stun 1x;Lame attack, but foe is concerned. He  moves back.;+6H, must parry 1x
13;You impede foe's combat stance. You have the initiative.;+0H;Foe collides with your attack before you get a grip. Small bruise.;+2H;You cannot get a grip, foe hurts himself evading. You have initiative.;+4H;Grab foe's head. If foe has helm, you twist it. Otherwise, you gain initiative.;with helm: stun 1x;Lame attack, but foe is concerned. He  moves back.;+6H, must parry 1x
