0;A;A-D;B;B-D;C;C-D;D;D-D;E;E-D
1;Strike loses its power.;+0H;Fine artistry, but no extra damage.;+0H;Glancing blow makes a strange sound.;+1H;You impress foe with your form.;+2H;How did you botch this beautiful strike?;+3H
2;Strike loses its power.;+0H;Fine artistry, but no extra damage.;+0H;Glancing blow makes a strange sound.;+1H;You impress foe with your form.;+2H;How did you botch this beautiful strike?;+3H
3;Strike loses its power.;+0H;Fine artistry, but no extra damage.;+0H;Glancing blow makes a strange sound.;+1H;You impress foe with your form.;+2H;How did you botch this beautiful strike?;+3H
4;Strike loses its power.;+0H;Fine artistry, but no extra damage.;+0H;Glancing blow makes a strange sound.;+1H;You impress foe with your form.;+2H;How did you botch this beautiful strike?;+3H
5;Strike loses its power.;+0H;Fine artistry, but no extra damage.;+0H;Glancing blow makes a strange sound.;+1H;You impress foe with your form.;+2H;How did you botch this beautiful strike?;+3H
6;Strike slows to a tap.;+1H;Your master would be so embarrassed.;+2H;Not so solid a strike.;+3H;Foe steps out of most of the strike.;+4H;Glancing strike makes foe respect you.;+5H
7;Strike slows to a tap.;+1H;Your master would be so embarrassed.;+2H;Not so solid a strike.;+3H;Foe steps out of most of the strike.;+4H;Glancing strike makes foe respect you.;+5H
8;Strike slows to a tap.;+1H;Your master would be so embarrassed.;+2H;Not so solid a strike.;+3H;Foe steps out of most of the strike.;+4H;Glancing strike makes foe respect you.;+5H
9;Strike slows to a tap.;+1H;Your master would be so embarrassed.;+2H;Not so solid a strike.;+3H;Foe steps out of most of the strike.;+4H;Glancing strike makes foe respect you.;+5H
10;Strike slows to a tap.;+1H;Your master would be so embarrassed.;+2H;Not so solid a strike.;+3H;Foe steps out of most of the strike.;+4H;Glancing strike makes foe respect you.;+5H
11;You maneuver for a better position. You have initiative.;+3H;Blow to shoulder. Foe steps back and yields the initiative to you.;+0H;Forceful. Foe steps back. You have initiative.;+5H;Kick foe's side. He stumbles out of the way. You have initiative.;+0H;You strike foe to unbalance him before you attempt a killing blow.;+7H, stun 1x
12;You maneuver for a better position. You have initiative.;+3H;Blow to shoulder. Foe steps back and yields the initiative to you.;+0H;Forceful. Foe steps back. You have initiative.;+5H;Kick foe's side. He stumbles out of the way. You have initiative.;+0H;You strike foe to unbalance him before you attempt a killing blow.;+7H, stun 1x
13;You maneuver for a better position. You have initiative.;+3H;Blow to shoulder. Foe steps back and yields the initiative to you.;+0H;Forceful. Foe steps back. You have initiative.;+5H;Kick foe's side. He stumbles out of the way. You have initiative.;+0H;You strike foe to unbalance him before you attempt a killing blow.;+7H, stun 1x
