0;A;A-D;B;B-D;C;C-D;D;D-D;E;E-D
1;,Acrobatic,, but no extra damage.,;+0H;,You look like you are trying to sweep yourself. Fortunately,, you fail.,;+0H;Clever strike exposes foe's garment tags and washing instructions;+1H;You forget you are a master martial artist and attack at rank 1.;+2H;,Your attack looked deadly,, but failed to connect.,;+3H
2;,Acrobatic,, but no extra damage.,;+0H;,You look like you are trying to sweep yourself. Fortunately,, you fail.,;+0H;Clever strike exposes foe's garment tags and washing instructions;+1H;You forget you are a master martial artist and attack at rank 1.;+2H;,Your attack looked deadly,, but failed to connect.,;+3H
3;,Acrobatic,, but no extra damage.,;+0H;,You look like you are trying to sweep yourself. Fortunately,, you fail.,;+0H;Clever strike exposes foe's garment tags and washing instructions;+1H;You forget you are a master martial artist and attack at rank 1.;+2H;,Your attack looked deadly,, but failed to connect.,;+3H
4;,Acrobatic,, but no extra damage.,;+0H;,You look like you are trying to sweep yourself. Fortunately,, you fail.,;+0H;Clever strike exposes foe's garment tags and washing instructions;+1H;You forget you are a master martial artist and attack at rank 1.;+2H;,Your attack looked deadly,, but failed to connect.,;+3H
5;,Acrobatic,, but no extra damage.,;+0H;,You look like you are trying to sweep yourself. Fortunately,, you fail.,;+0H;Clever strike exposes foe's garment tags and washing instructions;+1H;You forget you are a master martial artist and attack at rank 1.;+2H;,Your attack looked deadly,, but failed to connect.,;+3H
6;Rip your pants and miss an opportunity.;+1H;Your attack is little more than a clumsy grip.;+1H;,You slip in a punch,, after failing your sweep.,;+2H;It looks like you're sparring. Your foe is serious.;+3H;Knee to thigh. Unbalance foe. You have the initiative.;+4H
7;Rip your pants and miss an opportunity.;+1H;Your attack is little more than a clumsy grip.;+1H;,You slip in a punch,, after failing your sweep.,;+2H;It looks like you're sparring. Your foe is serious.;+3H;Knee to thigh. Unbalance foe. You have the initiative.;+4H
8;Rip your pants and miss an opportunity.;+1H;Your attack is little more than a clumsy grip.;+1H;,You slip in a punch,, after failing your sweep.,;+2H;It looks like you're sparring. Your foe is serious.;+3H;Knee to thigh. Unbalance foe. You have the initiative.;+4H
9;Rip your pants and miss an opportunity.;+1H;Your attack is little more than a clumsy grip.;+1H;,You slip in a punch,, after failing your sweep.,;+2H;It looks like you're sparring. Your foe is serious.;+3H;Knee to thigh. Unbalance foe. You have the initiative.;+4H
10;Rip your pants and miss an opportunity.;+1H;Your attack is little more than a clumsy grip.;+1H;,You slip in a punch,, after failing your sweep.,;+2H;It looks like you're sparring. Your foe is serious.;+3H;Knee to thigh. Unbalance foe. You have the initiative.;+4H
11;You get to a better position and you have the initiative next round.;+1H;,Your attack is deflected,, but you gain the initiative next round.,;+3H;,Your form confuses foe greatly. He responds slowly,, you have initiative.,;(+20 Next Attack);Foe steps out of your assault and puts up a determined defense.;,+4H,, must parry 1x,;Base your grip on a garment that tears off. You miss a good throw.;,stun 1x,, (+10 Next Attack),
12;You get to a better position and you have the initiative next round.;+1H;,Your attack is deflected,, but you gain the initiative next round.,;+3H;,Your form confuses foe greatly. He responds slowly,, you have initiative.,;(+20 Next Attack);Foe steps out of your assault and puts up a determined defense.;,+4H,, must parry 1x,;Base your grip on a garment that tears off. You miss a good throw.;,stun 1x,, (+10 Next Attack),
13;You get to a better position and you have the initiative next round.;+1H;,Your attack is deflected,, but you gain the initiative next round.,;+3H;,Your form confuses foe greatly. He responds slowly,, you have initiative.,;(+20 Next Attack);Foe steps out of your assault and puts up a determined defense.;,+4H,, must parry 1x,;Base your grip on a garment that tears off. You miss a good throw.;,stun 1x,, (+10 Next Attack),
14;You get to a better position and you have the initiative next round.;+1H;,Your attack is deflected,, but you gain the initiative next round.,;+3H;,Your form confuses foe greatly. He responds slowly,, you have initiative.,;(+20 Next Attack);Foe steps out of your assault and puts up a determined defense.;,+4H,, must parry 1x,;Base your grip on a garment that tears off. You miss a good throw.;,stun 1x,, (+10 Next Attack),
15;You get to a better position and you have the initiative next round.;+1H;,Your attack is deflected,, but you gain the initiative next round.,;+3H;,Your form confuses foe greatly. He responds slowly,, you have initiative.,;(+20 Next Attack);Foe steps out of your assault and puts up a determined defense.;,+4H,, must parry 1x,;Base your grip on a garment that tears off. You miss a good throw.;,stun 1x,, (+10 Next Attack),
16;Your attack causes foe to seek safety behind his weapon.;,+2H,, must parry 1x,;Foe is dazzled by your form. He seeks to avoid your onslaught.;must parry @ -10;Foe fights back and pushes you clear. He unbalances himself in the process.;,+3H,, foe @ -20,;Your attack causes foe to strike himself lightly. You are happy with the result.;,+4H,, stun 1x,;A soft strike and a hard punch leaves an opening for you to exploit.;,+2H,, stun no parry 1x,
17;Your attack causes foe to seek safety behind his weapon.;,+2H,, must parry 1x,;Foe is dazzled by your form. He seeks to avoid your onslaught.;must parry @ -10;Foe fights back and pushes you clear. He unbalances himself in the process.;,+3H,, foe @ -20,;Your attack causes foe to strike himself lightly. You are happy with the result.;,+4H,, stun 1x,;A soft strike and a hard punch leaves an opening for you to exploit.;,+2H,, stun no parry 1x,
18;Your attack causes foe to seek safety behind his weapon.;,+2H,, must parry 1x,;Foe is dazzled by your form. He seeks to avoid your onslaught.;must parry @ -10;Foe fights back and pushes you clear. He unbalances himself in the process.;,+3H,, foe @ -20,;Your attack causes foe to strike himself lightly. You are happy with the result.;,+4H,, stun 1x,;A soft strike and a hard punch leaves an opening for you to exploit.;,+2H,, stun no parry 1x,
19;Your attack causes foe to seek safety behind his weapon.;,+2H,, must parry 1x,;Foe is dazzled by your form. He seeks to avoid your onslaught.;must parry @ -10;Foe fights back and pushes you clear. He unbalances himself in the process.;,+3H,, foe @ -20,;Your attack causes foe to strike himself lightly. You are happy with the result.;,+4H,, stun 1x,;A soft strike and a hard punch leaves an opening for you to exploit.;,+2H,, stun no parry 1x,
20;Your attack causes foe to seek safety behind his weapon.;,+2H,, must parry 1x,;Foe is dazzled by your form. He seeks to avoid your onslaught.;must parry @ -10;Foe fights back and pushes you clear. He unbalances himself in the process.;,+3H,, foe @ -20,;Your attack causes foe to strike himself lightly. You are happy with the result.;,+4H,, stun 1x,;A soft strike and a hard punch leaves an opening for you to exploit.;,+2H,, stun no parry 1x,
21;Foe leaps back from your attempts. He needs some time to recover.;,+2H,, foe @ -10,;You almost connect your grapple with the force of a kick. Foe escapes and wards you away.;,+3H,, foe @ -20,;Solid strike is not a sweep. Your foe stands listless for a moment and then recovers.;,+4H,, stun 1x,;,Sweep almost takes off foe off his feet. He drops down on one knee,, but struggles back to his feet.,;,+4H,, stun no parry 1x,;Sweep foe over. He spends some time trying to recover his balance. You recover and prepare for an opportunity.;stun 2x
22;Foe leaps back from your attempts. He needs some time to recover.;,+2H,, foe @ -10,;You almost connect your grapple with the force of a kick. Foe escapes and wards you away.;,+3H,, foe @ -20,;Solid strike is not a sweep. Your foe stands listless for a moment and then recovers.;,+4H,, stun 1x,;,Sweep almost takes off foe off his feet. He drops down on one knee,, but struggles back to his feet.,;,+4H,, stun no parry 1x,;Sweep foe over. He spends some time trying to recover his balance. You recover and prepare for an opportunity.;stun 2x
23;Foe leaps back from your attempts. He needs some time to recover.;,+2H,, foe @ -10,;You almost connect your grapple with the force of a kick. Foe escapes and wards you away.;,+3H,, foe @ -20,;Solid strike is not a sweep. Your foe stands listless for a moment and then recovers.;,+4H,, stun 1x,;,Sweep almost takes off foe off his feet. He drops down on one knee,, but struggles back to his feet.,;,+4H,, stun no parry 1x,;Sweep foe over. He spends some time trying to recover his balance. You recover and prepare for an opportunity.;stun 2x
24;Foe leaps back from your attempts. He needs some time to recover.;,+2H,, foe @ -10,;You almost connect your grapple with the force of a kick. Foe escapes and wards you away.;,+3H,, foe @ -20,;Solid strike is not a sweep. Your foe stands listless for a moment and then recovers.;,+4H,, stun 1x,;,Sweep almost takes off foe off his feet. He drops down on one knee,, but struggles back to his feet.,;,+4H,, stun no parry 1x,;Sweep foe over. He spends some time trying to recover his balance. You recover and prepare for an opportunity.;stun 2x
25;Foe leaps back from your attempts. He needs some time to recover.;,+2H,, foe @ -10,;You almost connect your grapple with the force of a kick. Foe escapes and wards you away.;,+3H,, foe @ -20,;Solid strike is not a sweep. Your foe stands listless for a moment and then recovers.;,+4H,, stun 1x,;,Sweep almost takes off foe off his feet. He drops down on one knee,, but struggles back to his feet.,;,+4H,, stun no parry 1x,;Sweep foe over. He spends some time trying to recover his balance. You recover and prepare for an opportunity.;stun 2x
26;Foe leaps back from your attempts. He needs some time to recover.;,+2H,, foe @ -10,;You almost connect your grapple with the force of a kick. Foe escapes and wards you away.;,+3H,, foe @ -20,;Solid strike is not a sweep. Your foe stands listless for a moment and then recovers.;,+4H,, stun 1x,;,Sweep almost takes off foe off his feet. He drops down on one knee,, but struggles back to his feet.,;,+4H,, stun no parry 1x,;Sweep foe over. He spends some time trying to recover his balance. You recover and prepare for an opportunity.;stun 2x
27;Foe leaps back from your attempts. He needs some time to recover.;,+2H,, foe @ -10,;You almost connect your grapple with the force of a kick. Foe escapes and wards you away.;,+3H,, foe @ -20,;Solid strike is not a sweep. Your foe stands listless for a moment and then recovers.;,+4H,, stun 1x,;,Sweep almost takes off foe off his feet. He drops down on one knee,, but struggles back to his feet.,;,+4H,, stun no parry 1x,;Sweep foe over. He spends some time trying to recover his balance. You recover and prepare for an opportunity.;stun 2x
28;Foe leaps back from your attempts. He needs some time to recover.;,+2H,, foe @ -10,;You almost connect your grapple with the force of a kick. Foe escapes and wards you away.;,+3H,, foe @ -20,;Solid strike is not a sweep. Your foe stands listless for a moment and then recovers.;,+4H,, stun 1x,;,Sweep almost takes off foe off his feet. He drops down on one knee,, but struggles back to his feet.,;,+4H,, stun no parry 1x,;Sweep foe over. He spends some time trying to recover his balance. You recover and prepare for an opportunity.;stun 2x
29;Foe leaps back from your attempts. He needs some time to recover.;,+2H,, foe @ -10,;You almost connect your grapple with the force of a kick. Foe escapes and wards you away.;,+3H,, foe @ -20,;Solid strike is not a sweep. Your foe stands listless for a moment and then recovers.;,+4H,, stun 1x,;,Sweep almost takes off foe off his feet. He drops down on one knee,, but struggles back to his feet.,;,+4H,, stun no parry 1x,;Sweep foe over. He spends some time trying to recover his balance. You recover and prepare for an opportunity.;stun 2x
30;Foe leaps back from your attempts. He needs some time to recover.;,+2H,, foe @ -10,;You almost connect your grapple with the force of a kick. Foe escapes and wards you away.;,+3H,, foe @ -20,;Solid strike is not a sweep. Your foe stands listless for a moment and then recovers.;,+4H,, stun 1x,;,Sweep almost takes off foe off his feet. He drops down on one knee,, but struggles back to his feet.,;,+4H,, stun no parry 1x,;Sweep foe over. He spends some time trying to recover his balance. You recover and prepare for an opportunity.;stun 2x
