0;A;A-D;B;B-D;C;C-D;D;D-D;E;E-D
1;Foe evades most of the attack;+0H;Glancing blow. Nothing Extra;+0H;Foe dances clear of the worst.;+1H;Strike bounces off.;+2H;Strike lands flat.;+3H
2;Foe evades most of the attack;+0H;Glancing blow. Nothing Extra;+0H;Foe dances clear of the worst.;+1H;Strike bounces off.;+2H;Strike lands flat.;+3H
3;Foe evades most of the attack;+0H;Glancing blow. Nothing Extra;+0H;Foe dances clear of the worst.;+1H;Strike bounces off.;+2H;Strike lands flat.;+3H
4;Foe evades most of the attack;+0H;Glancing blow. Nothing Extra;+0H;Foe dances clear of the worst.;+1H;Strike bounces off.;+2H;Strike lands flat.;+3H
5;Foe evades most of the attack;+0H;Glancing blow. Nothing Extra;+0H;Foe dances clear of the worst.;+1H;Strike bounces off.;+2H;Strike lands flat.;+3H
6;Strike failed to connect well.;+1H;Panck!;+2H;Nick your weapon and your foe.;+3H;Strike lands without energy.;+4H;Shot unbalances foe. You have initiative.;+5H
7;Strike failed to connect well.;+1H;Panck!;+2H;Nick your weapon and your foe.;+3H;Strike lands without energy.;+4H;Shot unbalances foe. You have initiative.;+5H
8;Strike failed to connect well.;+1H;Panck!;+2H;Nick your weapon and your foe.;+3H;Strike lands without energy.;+4H;Shot unbalances foe. You have initiative.;+5H
9;Strike failed to connect well.;+1H;Panck!;+2H;Nick your weapon and your foe.;+3H;Strike lands without energy.;+4H;Shot unbalances foe. You have initiative.;+5H
10;Strike failed to connect well.;+1H;Panck!;+2H;Nick your weapon and your foe.;+3H;Strike lands without energy.;+4H;Shot unbalances foe. You have initiative.;+5H
11;Strike causes foe to flinch. You gain initiative next round.;+1H;Foe questions his resolve. You gain initiative next round.;+3H;Foe's evasion puts him out of position. You gain initiative next round.;+5H;Foe evades and maneuver for a better position.;+2H, must parry 1x;Foe is fearful of your skill and steps back from your mighty onslaught.;+3H, must parry 1x
12;Strike causes foe to flinch. You gain initiative next round.;+1H;Foe questions his resolve. You gain initiative next round.;+3H;Foe's evasion puts him out of position. You gain initiative next round.;+5H;Foe evades and maneuver for a better position.;+2H, must parry 1x;Foe is fearful of your skill and steps back from your mighty onslaught.;+3H, must parry 1x
13;Strike causes foe to flinch. You gain initiative next round.;+1H;Foe questions his resolve. You gain initiative next round.;+3H;Foe's evasion puts him out of position. You gain initiative next round.;+5H;Foe evades and maneuver for a better position.;+2H, must parry 1x;Foe is fearful of your skill and steps back from your mighty onslaught.;+3H, must parry 1x
14;Strike causes foe to flinch. You gain initiative next round.;+1H;Foe questions his resolve. You gain initiative next round.;+3H;Foe's evasion puts him out of position. You gain initiative next round.;+5H;Foe evades and maneuver for a better position.;+2H, must parry 1x;Foe is fearful of your skill and steps back from your mighty onslaught.;+3H, must parry 1x
15;Strike causes foe to flinch. You gain initiative next round.;+1H;Foe questions his resolve. You gain initiative next round.;+3H;Foe's evasion puts him out of position. You gain initiative next round.;+5H;Foe evades and maneuver for a better position.;+2H, must parry 1x;Foe is fearful of your skill and steps back from your mighty onslaught.;+3H, must parry 1x
16;Foe steps back defensively.;+1H, must parry 1x;Foe steps back and avoids the worst.;+2H, must parry @ -10;Blow to foe's side. If foe has a belt it is severed.;+3H, must parry @ -20;Precise strike to foe's side. You have the initiative for 1 round.;Foe is at -10;Foe vibrates from the impact of the strike.;stun 1x, (+20 Next Attack)
17;Foe steps back defensively.;+1H, must parry 1x;Foe steps back and avoids the worst.;+2H, must parry @ -10;Blow to foe's side. If foe has a belt it is severed.;+3H, must parry @ -20;Precise strike to foe's side. You have the initiative for 1 round.;Foe is at -10;Foe vibrates from the impact of the strike.;stun 1x, (+20 Next Attack)
18;Foe steps back defensively.;+1H, must parry 1x;Foe steps back and avoids the worst.;+2H, must parry @ -10;Blow to foe's side. If foe has a belt it is severed.;+3H, must parry @ -20;Precise strike to foe's side. You have the initiative for 1 round.;Foe is at -10;Foe vibrates from the impact of the strike.;stun 1x, (+20 Next Attack)
19;Foe steps back defensively.;+1H, must parry 1x;Foe steps back and avoids the worst.;+2H, must parry @ -10;Blow to foe's side. If foe has a belt it is severed.;+3H, must parry @ -20;Precise strike to foe's side. You have the initiative for 1 round.;Foe is at -10;Foe vibrates from the impact of the strike.;stun 1x, (+20 Next Attack)
