0;A;A-D;B;B-D;C;C-D;D;D-D;E;E-D
1;Dubious Strike.;+0H;You throw up some dust.;+0H;You're not very good, are you?;+0H;Get it right next time!;+0H;You did very poorly.;+1H
2;Dubious Strike.;+0H;You throw up some dust.;+0H;You're not very good, are you?;+0H;Get it right next time!;+0H;You did very poorly.;+1H
3;Dubious Strike.;+0H;You throw up some dust.;+0H;You're not very good, are you?;+0H;Get it right next time!;+0H;You did very poorly.;+1H
4;Dubious Strike.;+0H;You throw up some dust.;+0H;You're not very good, are you?;+0H;Get it right next time!;+0H;You did very poorly.;+1H
5;Dubious Strike.;+0H;You throw up some dust.;+0H;You're not very good, are you?;+0H;Get it right next time!;+0H;You did very poorly.;+1H
6;Zip. Less than effective.;+0H;You leap. Foe moves. You land. It had good form.;+0H;Look over there! Baby eagles!;+0H;Your slash tears off a piece of fur or cloth.;+1H;Strike is not solid or well placed.;+2H
7;Zip. Less than effective.;+0H;You leap. Foe moves. You land. It had good form.;+0H;Look over there! Baby eagles!;+0H;Your slash tears off a piece of fur or cloth.;+1H;Strike is not solid or well placed.;+2H
8;Zip. Less than effective.;+0H;You leap. Foe moves. You land. It had good form.;+0H;Look over there! Baby eagles!;+0H;Your slash tears off a piece of fur or cloth.;+1H;Strike is not solid or well placed.;+2H
9;Zip. Less than effective.;+0H;You leap. Foe moves. You land. It had good form.;+0H;Look over there! Baby eagles!;+0H;Your slash tears off a piece of fur or cloth.;+1H;Strike is not solid or well placed.;+2H
10;Zip. Less than effective.;+0H;You leap. Foe moves. You land. It had good form.;+0H;Look over there! Baby eagles!;+0H;Your slash tears off a piece of fur or cloth.;+1H;Strike is not solid or well placed.;+2H
11;Feeble.;+0H;You almost got a real grip.;+0H;You really tear up foe's garments. Try his skin next time.;+1H;Slash to neck, pulls off any necklaces foe is wearing.;+1H;Entangle your claws in foe's clothes. You straggle to pull free.;+2H
12;Feeble.;+0H;You almost got a real grip.;+0H;You really tear up foe's garments. Try his skin next time.;+1H;Slash to neck, pulls off any necklaces foe is wearing.;+1H;Entangle your claws in foe's clothes. You straggle to pull free.;+2H
13;Feeble.;+0H;You almost got a real grip.;+0H;You really tear up foe's garments. Try his skin next time.;+1H;Slash to neck, pulls off any necklaces foe is wearing.;+1H;Entangle your claws in foe's clothes. You straggle to pull free.;+2H
14;Feeble.;+0H;You almost got a real grip.;+0H;You really tear up foe's garments. Try his skin next time.;+1H;Slash to neck, pulls off any necklaces foe is wearing.;+1H;Entangle your claws in foe's clothes. You straggle to pull free.;+2H
15;Feeble.;+0H;You almost got a real grip.;+0H;You really tear up foe's garments. Try his skin next time.;+1H;Slash to neck, pulls off any necklaces foe is wearing.;+1H;Entangle your claws in foe's clothes. You straggle to pull free.;+2H
16;Victory to the oppressed!;+1H;You lunge for foe's throat was blocked by his arm.;+1H;Glance off foe and grip the air. He steps out of your strike.;+1H;Solid chest strike yields a bruise.;+2H;Light cutting strike. It has a little effect, but you taste blood.;+2H, bleed 1x
17;Victory to the oppressed!;+1H;You lunge for foe's throat was blocked by his arm.;+1H;Glance off foe and grip the air. He steps out of your strike.;+1H;Solid chest strike yields a bruise.;+2H;Light cutting strike. It has a little effect, but you taste blood.;+2H, bleed 1x
18;Victory to the oppressed!;+1H;You lunge for foe's throat was blocked by his arm.;+1H;Glance off foe and grip the air. He steps out of your strike.;+1H;Solid chest strike yields a bruise.;+2H;Light cutting strike. It has a little effect, but you taste blood.;+2H, bleed 1x
19;Victory to the oppressed!;+1H;You lunge for foe's throat was blocked by his arm.;+1H;Glance off foe and grip the air. He steps out of your strike.;+1H;Solid chest strike yields a bruise.;+2H;Light cutting strike. It has a little effect, but you taste blood.;+2H, bleed 1x
20;Victory to the oppressed!;+1H;You lunge for foe's throat was blocked by his arm.;+1H;Glance off foe and grip the air. He steps out of your strike.;+1H;Solid chest strike yields a bruise.;+2H;Light cutting strike. It has a little effect, but you taste blood.;+2H, bleed 1x
21;Jolly deadly attack.;+1H;You get in close, but foe kicks you clear before your strike turns deadly.;+2H;Strike catches foe in waist. His equipment blocks some damage.;+2H;The recoil from a missed strike lands against foe's back. It is a mild scratch.;+3H;Scratch foe in calf. It turns into a bleeder and you are very pleased.;+2H, bleed 1x
22;Jolly deadly attack.;+1H;You get in close, but foe kicks you clear before your strike turns deadly.;+2H;Strike catches foe in waist. His equipment blocks some damage.;+2H;The recoil from a missed strike lands against foe's back. It is a mild scratch.;+3H;Scratch foe in calf. It turns into a bleeder and you are very pleased.;+2H, bleed 1x
23;Jolly deadly attack.;+1H;You get in close, but foe kicks you clear before your strike turns deadly.;+2H;Strike catches foe in waist. His equipment blocks some damage.;+2H;The recoil from a missed strike lands against foe's back. It is a mild scratch.;+3H;Scratch foe in calf. It turns into a bleeder and you are very pleased.;+2H, bleed 1x
24;Jolly deadly attack.;+1H;You get in close, but foe kicks you clear before your strike turns deadly.;+2H;Strike catches foe in waist. His equipment blocks some damage.;+2H;The recoil from a missed strike lands against foe's back. It is a mild scratch.;+3H;Scratch foe in calf. It turns into a bleeder and you are very pleased.;+2H, bleed 1x
25;Jolly deadly attack.;+1H;You get in close, but foe kicks you clear before your strike turns deadly.;+2H;Strike catches foe in waist. His equipment blocks some damage.;+2H;The recoil from a missed strike lands against foe's back. It is a mild scratch.;+3H;Scratch foe in calf. It turns into a bleeder and you are very pleased.;+2H, bleed 1x
26;Jolly deadly attack.;+1H;You get in close, but foe kicks you clear before your strike turns deadly.;+2H;Strike catches foe in waist. His equipment blocks some damage.;+2H;The recoil from a missed strike lands against foe's back. It is a mild scratch.;+3H;Scratch foe in calf. It turns into a bleeder and you are very pleased.;+2H, bleed 1x
27;Jolly deadly attack.;+1H;You get in close, but foe kicks you clear before your strike turns deadly.;+2H;Strike catches foe in waist. His equipment blocks some damage.;+2H;The recoil from a missed strike lands against foe's back. It is a mild scratch.;+3H;Scratch foe in calf. It turns into a bleeder and you are very pleased.;+2H, bleed 1x
28;Jolly deadly attack.;+1H;You get in close, but foe kicks you clear before your strike turns deadly.;+2H;Strike catches foe in waist. His equipment blocks some damage.;+2H;The recoil from a missed strike lands against foe's back. It is a mild scratch.;+3H;Scratch foe in calf. It turns into a bleeder and you are very pleased.;+2H, bleed 1x
29;Jolly deadly attack.;+1H;You get in close, but foe kicks you clear before your strike turns deadly.;+2H;Strike catches foe in waist. His equipment blocks some damage.;+2H;The recoil from a missed strike lands against foe's back. It is a mild scratch.;+3H;Scratch foe in calf. It turns into a bleeder and you are very pleased.;+2H, bleed 1x
30;Jolly deadly attack.;+1H;You get in close, but foe kicks you clear before your strike turns deadly.;+2H;Strike catches foe in waist. His equipment blocks some damage.;+2H;The recoil from a missed strike lands against foe's back. It is a mild scratch.;+3H;Scratch foe in calf. It turns into a bleeder and you are very pleased.;+2H, bleed 1x
31;Jolly deadly attack.;+1H;You get in close, but foe kicks you clear before your strike turns deadly.;+2H;Strike catches foe in waist. His equipment blocks some damage.;+2H;The recoil from a missed strike lands against foe's back. It is a mild scratch.;+3H;Scratch foe in calf. It turns into a bleeder and you are very pleased.;+2H, bleed 1x
32;Jolly deadly attack.;+1H;You get in close, but foe kicks you clear before your strike turns deadly.;+2H;Strike catches foe in waist. His equipment blocks some damage.;+2H;The recoil from a missed strike lands against foe's back. It is a mild scratch.;+3H;Scratch foe in calf. It turns into a bleeder and you are very pleased.;+2H, bleed 1x
33;Jolly deadly attack.;+1H;You get in close, but foe kicks you clear before your strike turns deadly.;+2H;Strike catches foe in waist. His equipment blocks some damage.;+2H;The recoil from a missed strike lands against foe's back. It is a mild scratch.;+3H;Scratch foe in calf. It turns into a bleeder and you are very pleased.;+2H, bleed 1x
34;Jolly deadly attack.;+1H;You get in close, but foe kicks you clear before your strike turns deadly.;+2H;Strike catches foe in waist. His equipment blocks some damage.;+2H;The recoil from a missed strike lands against foe's back. It is a mild scratch.;+3H;Scratch foe in calf. It turns into a bleeder and you are very pleased.;+2H, bleed 1x
35;Jolly deadly attack.;+1H;You get in close, but foe kicks you clear before your strike turns deadly.;+2H;Strike catches foe in waist. His equipment blocks some damage.;+2H;The recoil from a missed strike lands against foe's back. It is a mild scratch.;+3H;Scratch foe in calf. It turns into a bleeder and you are very pleased.;+2H, bleed 1x
36;Cruel blow for nature.;+2H;Attempt to disembowel falls short. Foe guards his stomach well.;+3H;Light grip. Foe breaks free, damaging himself. You are pleased.;+2H, bleed 1x;Strike to foe's lower leg. If foe has no leg armor, you cause him pain.;w/o: +5H, bleed 1x;Solid shot to leg. Foe watches you break the skin on his thigh.;+3H, bleed 1x
37;Cruel blow for nature.;+2H;Attempt to disembowel falls short. Foe guards his stomach well.;+3H;Light grip. Foe breaks free, damaging himself. You are pleased.;+2H, bleed 1x;Strike to foe's lower leg. If foe has no leg armor, you cause him pain.;w/o: +5H, bleed 1x;Solid shot to leg. Foe watches you break the skin on his thigh.;+3H, bleed 1x
38;Cruel blow for nature.;+2H;Attempt to disembowel falls short. Foe guards his stomach well.;+3H;Light grip. Foe breaks free, damaging himself. You are pleased.;+2H, bleed 1x;Strike to foe's lower leg. If foe has no leg armor, you cause him pain.;w/o: +5H, bleed 1x;Solid shot to leg. Foe watches you break the skin on his thigh.;+3H, bleed 1x
39;Cruel blow for nature.;+2H;Attempt to disembowel falls short. Foe guards his stomach well.;+3H;Light grip. Foe breaks free, damaging himself. You are pleased.;+2H, bleed 1x;Strike to foe's lower leg. If foe has no leg armor, you cause him pain.;w/o: +5H, bleed 1x;Solid shot to leg. Foe watches you break the skin on his thigh.;+3H, bleed 1x
40;Cruel blow for nature.;+2H;Attempt to disembowel falls short. Foe guards his stomach well.;+3H;Light grip. Foe breaks free, damaging himself. You are pleased.;+2H, bleed 1x;Strike to foe's lower leg. If foe has no leg armor, you cause him pain.;w/o: +5H, bleed 1x;Solid shot to leg. Foe watches you break the skin on his thigh.;+3H, bleed 1x
41;Cruel blow for nature.;+2H;Attempt to disembowel falls short. Foe guards his stomach well.;+3H;Light grip. Foe breaks free, damaging himself. You are pleased.;+2H, bleed 1x;Strike to foe's lower leg. If foe has no leg armor, you cause him pain.;w/o: +5H, bleed 1x;Solid shot to leg. Foe watches you break the skin on his thigh.;+3H, bleed 1x
42;Cruel blow for nature.;+2H;Attempt to disembowel falls short. Foe guards his stomach well.;+3H;Light grip. Foe breaks free, damaging himself. You are pleased.;+2H, bleed 1x;Strike to foe's lower leg. If foe has no leg armor, you cause him pain.;w/o: +5H, bleed 1x;Solid shot to leg. Foe watches you break the skin on his thigh.;+3H, bleed 1x
43;Cruel blow for nature.;+2H;Attempt to disembowel falls short. Foe guards his stomach well.;+3H;Light grip. Foe breaks free, damaging himself. You are pleased.;+2H, bleed 1x;Strike to foe's lower leg. If foe has no leg armor, you cause him pain.;w/o: +5H, bleed 1x;Solid shot to leg. Foe watches you break the skin on his thigh.;+3H, bleed 1x
44;Cruel blow for nature.;+2H;Attempt to disembowel falls short. Foe guards his stomach well.;+3H;Light grip. Foe breaks free, damaging himself. You are pleased.;+2H, bleed 1x;Strike to foe's lower leg. If foe has no leg armor, you cause him pain.;w/o: +5H, bleed 1x;Solid shot to leg. Foe watches you break the skin on his thigh.;+3H, bleed 1x
45;Cruel blow for nature.;+2H;Attempt to disembowel falls short. Foe guards his stomach well.;+3H;Light grip. Foe breaks free, damaging himself. You are pleased.;+2H, bleed 1x;Strike to foe's lower leg. If foe has no leg armor, you cause him pain.;w/o: +5H, bleed 1x;Solid shot to leg. Foe watches you break the skin on his thigh.;+3H, bleed 1x
46;Poor follow through. You lose a claw. Your attack is dubious.;+4H, foe @ -5 2x;Slash to foe's side does no cut deep. He turns to avoid the worst.;+3H;Solid strike to side does not break the skin. Foe skins to face you better.;+4H;Unexpected puncture in foe's side. You are pleased. Foe grips his side.;+3H, bleed 1x;You bring a powerful blow around against foe's back. He leaps back away.;+5H, must parry 1x, bleed 1x
47;Poor follow through. You lose a claw. Your attack is dubious.;+4H, foe @ -5 2x;Slash to foe's side does no cut deep. He turns to avoid the worst.;+3H;Solid strike to side does not break the skin. Foe skins to face you better.;+4H;Unexpected puncture in foe's side. You are pleased. Foe grips his side.;+3H, bleed 1x;You bring a powerful blow around against foe's back. He leaps back away.;+5H, must parry 1x, bleed 1x
